name,category,price,stock,rating,url
Wireless Mouse,Electronics,$29.99,In Stock,4.5,/products/wireless-mouse
Mechanical Keyboard,Electronics,$89.99,In Stock,4.7,/products/mechanical-keyboard
"27"" Monitor",Electronics,$299.99,Out of Stock,4.8,/products/monitor-27
USB-C Hub,Electronics,$19.99,In Stock,4.2,/products/usb-c-hub
Webcam HD,Electronics,$79.99,In Stock,4.3,/products/webcam-hd
Standing Desk,Furniture,$349.99,In Stock,4.6,/products/standing-desk
Desk Chair,Furniture,$199.99,Out of Stock,4.4,/products/desk-chair
Notebook Pack,Stationery,$4.99,In Stock,4.1,/products/notebook-pack
Laptop Stand,Electronics,$   49.99,In Stock,4.0,/products/laptop-stand
Noise Cancelling Headphones,Electronics,$149.99,In Stock,4.9,/products/headphones-nc
Cable Management Kit,Accessories,$12.99,In Stock,4.2,/products/cable-kit
